"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"704","C2","C2","GO:0031589","cell-substrate adhesion","54/1017","322/23239",1.49682642716922e-17,1.54382677698233e-14,1.08307209056434e-14,"109711/11482/239337/11606/11600/69538/11856/109880/12361/67896/12512/12842/140709/12825/14219/50768/330662/407800/13607/268780/100952/13731/13837/14114/192176/14268/329872/14369/14758/16202/109700/319480/16401/241226/16412/16416/16777/16852/17387/50918/68169/18073/18074/18186/18552/18792/50706/19211/19242/19272/20377/208777/94214/22329",54
"710","C2","C2","GO:0051271","negative regulation of cellular component movement","47/1017","309/23239",8.43214785877426e-14,3.95314422797262e-11,2.77332939623035e-11,"109711/11482/109880/12512/12527/12798/12825/20315/114886/13078/13179/50768/13479/22240/100952/13805/14114/56484/16011/77125/16202/16971/17260/214384/11819/211323/18186/19211/19242/19272/53614/20187/320271/108151/20356/20317/20377/20563/259302/20848/20855/24071/21814/56363/50875/22003/22418",47
"718","C2","C2","GO:0071560","cellular response to transforming growth factor beta stimulus","35/1017","200/23239",2.13481828927684e-12,5.79434627252667e-10,4.06502518573102e-10,"11477/11482/77794/66695/12562/12843/12825/12827/12912/100952/13805/14118/14281/14360/78558/241226/434215/16998/108075/17260/214384/14815/27528/65112/19272/17129/102141/20678/21808/21809/21813/21814/22433/21417/12192",35
"719","C2","C2","GO:0009611","response to wounding","58/1017","479/23239",2.429866560527e-12,6.26541092631886e-10,4.39550072027962e-10,"11475/11482/231532/14595/109880/56745/12361/12490/12527/12798/12842/12825/12831/13361/192119/22240/13649/13805/14114/192176/14268/14369/14632/14683/16000/242050/16416/16948/17181/17390/107589/68169/18053/18129/27528/18213/18595/73182/18706/18707/18792/19128/19211/19280/12258/20512/20583/72043/21788/21808/21824/56363/22003/27973/22418/22433/22695/12192",58
"729","C2","C2","GO:0009812","flavonoid metabolic process","9/1017","11/23239",2.89038974970616e-11,4.9685799797449e-09,3.48570862096143e-09,"394436/394430/22236/394433/94284/394435/394432/613123/394434",9
"739","C2","C2","GO:0003013","circulatory system process","54/1017","475/23239",1.54776526728546e-10,1.99545637084778e-08,1.39991295359477e-08,"11421/70008/11475/11482/11549/11606/11609/75547/11600/11835/98660/381290/12291/12296/12490/12843/14219/58861/13617/13618/13649/13731/13805/13809/192176/14360/14683/77446/15559/109700/16523/17390/17540/52589/18160/18162/11819/14815/54611/242202/18627/50706/19245/24052/20563/17129/29856/20787/20855/21808/21814/21833/74868/22003",54
"747","C2","C2","GO:0052695","cellular glucuronidation","9/1017","13/23239",3.47001734365626e-10,3.7280998835907e-08,2.61544947590934e-08,"394436/394430/22236/394433/94284/394435/394432/613123/394434",9
"752","C2","C2","GO:0032963","collagen metabolic process","21/1017","97/23239",9.98036655561533e-10,9.71108496741666e-08,6.81281427043692e-08,"216725/12842/12831/26427/14219/13038/114886/100952/13805/16412/76293/17385/17387/17389/17390/17534/18596/26432/52377/21809/21814",21
"798","C2","C2","GO:0032102","negative regulation of response to external stimulus","36/1017","319/23239",2.13601497240273e-07,1.11266961744252e-05,7.80593669340585e-06,"11513/23821/56745/81799/12297/54598/12361/102657/12490/12527/12562/12386/23871/16859/18186/18189/53322/18595/18792/19128/19211/19223/19280/20187/74136/108151/20356/20317/12258/20563/20583/21788/21824/56496/22418/22695",36
"822","C2","C2","GO:0010863","positive regulation of phospholipase C activity","9/1017","26/23239",9.05293921508129e-07,3.79561036846945e-05,2.66281147473123e-05,"11352/11549/11606/11856/50768/15559/14745/18595/18596",9
"825","C2","C2","GO:0006029","proteoglycan metabolic process","14/1017","67/23239",9.6796280540143e-07,3.93053873027966e-05,2.75747050324469e-05,"239337/12111/53374/269941/12814/13179/268780/93683/14733/50786/16000/68169/94214/72043",14
