"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"33","C1","C1","GO:0072073","kidney epithelium development","34/1240","143/23239",1.10142766071561e-13,1.77229723587876e-11,1.27744528687782e-11,"12159/73230/12387/233651/13642/17075/13838/13841/14048/14164/14182/14260/17300/15229/14734/15213/21410/16449/269152/16776/16869/114249/71805/18510/18654/19126/268902/58198/20474/55994/20682/24063/243931/13003",34
"34","C1","C1","GO:0045931","positive regulation of mitotic cell cycle","36/1240","162/23239",1.89643431248826e-13,2.96178417626843e-11,2.13480964712301e-11,"11504/11792/56208/11799/268697/12443/12530/12544/67849/12567/229841/27214/13205/76843/13614/67141/14165/14182/209334/15289/16002/240641/17536/17295/105837/67052/68501/18226/108907/53317/19385/108911/19684/64074/68612/74335",36
"35","C1","C1","GO:0061564","axon development","68/1240","483/23239",2.3496945897222e-13,3.56482236326425e-11,2.56947053480599e-11,"110532/11603/11658/11789/19716/12367/12558/12561/53870/12808/77018/12904/12933/20430/56320/70433/13640/13642/13690/13723/13838/13841/13845/14184/399558/71436/15229/14432/14587/15399/15519/15516/16392/545156/259277/16869/110648/77579/17967/18039/18040/18479/235611/18992/235472/19283/19353/19876/268902/20347/20358/235072/245450/20616/229285/231637/16765/23964/21974/360213/70747/107449/22253/210801/93840/225348/212168/67263",68
"36","C1","C1","GO:0006913","nucleocytoplasmic transport","51/1240","307/23239",4.46328309819953e-13,6.19745906579875e-11,4.4670356156694e-11,"223921/24015/66165/12159/12189/12317/432508/110750/68278/53817/66233/217378/13605/276770/71999/14180/74412/53379/15519/15516/76582/230673/70572/226432/16480/16211/240354/230082/18148/103468/59015/18141/18226/71805/68051/56698/18767/107939/19250/19384/19387/109095/20963/107829/21849/64930/22346/103573/72322/74204/22627",51
"37","C1","C1","GO:0051169","nuclear transport","51/1240","307/23239",4.46328309819953e-13,6.19745906579875e-11,4.4670356156694e-11,"223921/24015/66165/12159/12189/12317/432508/110750/68278/53817/66233/217378/13605/276770/71999/14180/74412/53379/15519/15516/76582/230673/70572/226432/16480/16211/240354/230082/18148/103468/59015/18141/18226/71805/68051/56698/18767/107939/19250/19384/19387/109095/20963/107829/21849/64930/22346/103573/72322/74204/22627",51
"38","C1","C1","GO:0001657","ureteric bud development","28/1240","103/23239",4.66851907028155e-13,6.19745906579875e-11,4.4670356156694e-11,"12159/73230/12387/233651/17075/14048/14164/14182/14260/17300/15229/14734/15213/21410/269152/16776/16869/114249/18510/18654/268902/58198/20474/55994/20682/24063/243931/13003",28
"39","C1","C1","GO:0072163","mesonephric epithelium development","28/1240","103/23239",4.66851907028155e-13,6.19745906579875e-11,4.4670356156694e-11,"12159/73230/12387/233651/17075/14048/14164/14182/14260/17300/15229/14734/15213/21410/269152/16776/16869/114249/18510/18654/268902/58198/20474/55994/20682/24063/243931/13003",28
"40","C1","C1","GO:0072164","mesonephric tubule development","28/1240","103/23239",4.66851907028155e-13,6.19745906579875e-11,4.4670356156694e-11,"12159/73230/12387/233651/17075/14048/14164/14182/14260/17300/15229/14734/15213/21410/269152/16776/16869/114249/18510/18654/268902/58198/20474/55994/20682/24063/243931/13003",28
"41","C1","C1","GO:0070507","regulation of microtubule cytoskeleton organization","39/1240","194/23239",5.74050231103266e-13,7.43465055404473e-11,5.35878469907952e-11,"11603/11789/77744/12449/12649/80986/76686/12387/13640/14228/209334/15505/74187/16551/212307/244329/17295/18148/18226/18479/18571/208177/70235/19353/19385/19822/66468/66140/219114/24061/13006/20460/16765/20257/21335/72119/22153/103573/74335",39
"42","C1","C1","GO:0000910","cytokinesis","34/1240","151/23239",5.92695612272563e-13,7.49336595516026e-11,5.40110588025824e-11,"68743/11789/20878/20877/56208/11799/23834/12615/74107/12704/80986/52679/108961/13605/71877/216963/16319/381293/19348/240641/71819/16569/77579/18226/108907/18571/225326/26934/239336/24050/235072/50850/229285/16765",34
"43","C1","C1","GO:0007409","axonogenesis","64/1240","448/23239",6.19685511743349e-13,7.65239550548182e-11,5.51573199681473e-11,"110532/11603/11658/11789/12558/12561/53870/12808/77018/12904/12933/20430/56320/70433/13640/13642/13690/13723/13838/13841/13845/14184/399558/71436/15229/14432/14587/15399/15519/15516/16392/545156/16869/110648/77579/17967/18039/18040/18479/235611/18992/235472/19283/19353/19876/268902/20347/20358/235072/245450/20616/229285/231637/16765/23964/21974/360213/107449/22253/210801/93840/225348/212168/67263",64
"44","C1","C1","GO:0033045","regulation of sister chromatid segregation","25/1240","83/23239",6.53424969074122e-13,7.88565133132633e-11,5.68385930036724e-11,"11789/20877/56208/11799/12235/12237/268697/52563/23834/67849/229841/12704/12387/67141/14156/209334/105837/67052/59126/68501/30939/70385/20460/21335/74335",25
"45","C1","C1","GO:0010965","regulation of mitotic sister chromatid separation","21/1240","58/23239",7.94858136254362e-13,9.37932600780148e-11,6.7604776220371e-11,"11789/20877/11799/12235/12237/268697/52563/23834/229841/12704/67141/209334/105837/67052/59126/68501/30939/70385/20460/21335/74335",21
"46","C1","C1","GO:0007389","pattern specification process","65/1240","462/23239",8.26352902694207e-13,9.53898676805705e-11,6.87555870525432e-11,"11481/19378/216285/11789/11838/20878/12159/12160/12166/277939/207607/53883/12808/241324/12387/76441/233651/13614/13626/14048/14164/14165/14182/17300/15229/14464/14734/15111/15213/15258/21410/15395/15399/15400/15402/15404/15405/15417/209448/15424/15426/15430/81896/106633/16392/30841/16869/14725/17285/17427/13865/18510/18530/18741/224143/19726/19876/268902/212712/20319/24063/72475/20460/76365/93840",65
"47","C1","C1","GO:2000027","regulation of animal organ morphogenesis","40/1240","206/23239",9.417566116443e-13,1.0639845974109e-10,7.66904152281898e-11,"230959/140577/11789/12159/12166/12977/68588/12387/13614/104156/14048/14164/14165/14182/17300/114142/57265/14464/14734/15111/15234/15364/21410/16392/16449/16869/17295/18510/19353/19876/268902/12393/58198/72080/20319/20474/20682/24063/21834/93840",40
"48","C1","C1","GO:0001823","mesonephros development","28/1240","106/23239",1.0140791061896e-12,1.12182501122224e-10,8.08594655724863e-11,"12159/73230/12387/233651/17075/14048/14164/14182/14260/17300/15229/14734/15213/21410/269152/16776/16869/114249/18510/18654/268902/58198/20474/55994/20682/24063/243931/13003",28
"49","C1","C1","GO:0045786","negative regulation of cell cycle","63/1240","445/23239",1.41328106719293e-12,1.53153519730499e-10,1.10390761768281e-10,"11636/11789/20878/20877/11799/12159/12189/56710/12235/12237/12317/12367/268697/12443/12449/71702/23834/12567/229841/12649/269582/52468/12387/233805/53817/76843/52679/108961/268465/14056/67141/14165/14184/17300/14235/209334/57441/15516/15902/244329/105837/18432/67052/18148/28114/57913/270906/30939/72440/67874/26941/24061/13006/70385/20460/107829/77011/21973/21974/235559/27223/74335/22642",63
"50","C1","C1","GO:0050657","nucleic acid transport","33/1240","148/23239",1.73069531125464e-12,1.80195923583572e-10,1.2988252119137e-10,"223921/24015/11838/66165/432508/68278/53817/276770/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/18148/103468/59015/18226/71805/56698/107939/19384/109095/110379/225027/107829/64930/103573/72322",33
"51","C1","C1","GO:0050658","RNA transport","33/1240","148/23239",1.73069531125464e-12,1.80195923583572e-10,1.2988252119137e-10,"223921/24015/11838/66165/432508/68278/53817/276770/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/18148/103468/59015/18226/71805/56698/107939/19384/109095/110379/225027/107829/64930/103573/72322",33
"52","C1","C1","GO:0051236","establishment of RNA localization","33/1240","151/23239",3.12297744972881e-12,3.1890404342423e-10,2.2986125520676e-10,"223921/24015/11838/66165/432508/68278/53817/276770/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/18148/103468/59015/18226/71805/56698/107939/19384/109095/110379/225027/107829/64930/103573/72322",33
"53","C1","C1","GO:0051306","mitotic sister chromatid separation","21/1240","62/23239",3.56680539137308e-12,3.57353521286623e-10,2.57575062622294e-10,"11789/20877/11799/12235/12237/268697/52563/23834/229841/12704/67141/209334/105837/67052/59126/68501/30939/70385/20460/21335/74335",21
"54","C1","C1","GO:0048738","cardiac muscle tissue development","44/1240","253/23239",3.67461353775252e-12,3.61336997878997e-10,2.60446292851231e-10,"11464/19378/11789/93760/244810/12159/12160/12166/12301/268697/320790/12387/13052/53817/109620/13614/13642/112405/14164/14180/14182/17300/14615/15213/15902/16392/16468/14725/17268/17295/109272/77579/17967/74103/18479/56376/18741/64082/19091/19736/20541/20679/76365/64930",44
"55","C1","C1","GO:0007051","spindle organization","34/1240","161/23239",4.09630877938682e-12,3.95479993064437e-10,2.85056052092832e-10,"20878/20877/66165/77744/268697/107995/229841/71877/105988/67141/66296/71909/16551/71819/16563/16569/51944/16211/212307/17865/67052/18226/70235/26934/19385/19822/24061/13006/50850/20460/16765/21335/72119/22154",34
"56","C1","C1","GO:0033047","regulation of mitotic sister chromatid segregation","22/1240","69/23239",4.38596097240949e-12,4.09424446369846e-10,2.95107005055161e-10,"11789/20877/56208/11799/12235/12237/268697/52563/23834/229841/12704/67141/209334/105837/67052/59126/68501/30939/70385/20460/21335/74335",22
"57","C1","C1","GO:0003002","regionalization","55/1240","368/23239",4.39495168419609e-12,4.09424446369846e-10,2.95107005055161e-10,"11481/19378/216285/11789/11838/20878/12159/12166/53883/12808/241324/12387/13614/13626/14164/14165/14182/17300/15229/14464/14734/15213/15258/21410/15395/15399/15400/15402/15404/15405/15417/209448/15424/15426/15430/81896/106633/16392/30841/16869/14725/17285/17427/13865/18510/18530/18741/224143/19876/268902/20319/24063/72475/76365/93840",55
"58","C1","C1","GO:0050673","epithelial cell proliferation","59/1240","412/23239",4.52663086068469e-12,4.1442085983165e-10,2.98708344999084e-10,"19378/11789/11846/11946/11799/12159/12160/73230/12166/12173/12443/12560/12387/13052/13386/63953/13601/13642/13836/14048/14164/14165/14180/14182/14184/114142/14461/14734/15117/15213/15364/15289/97165/15312/21410/15402/15902/81896/16002/16009/16392/75605/16542/16590/259277/328949/17345/18102/18148/68371/18654/19876/20319/20474/20666/20682/76365/226841/22346",59
"59","C1","C1","GO:0050808","synapse organization","60/1240","424/23239",4.95371585510449e-12,4.45834426959405e-10,3.21350773401605e-10,"11603/11838/239027/12323/53872/12404/107995/12558/12564/107932/12387/18163/20430/56320/13640/13642/112405/13838/13841/13845/104156/14062/223254/70598/399558/71436/14432/14712/234267/15387/93842/16400/545156/259277/110648/16975/77579/17918/18039/18430/18479/219228/18530/56376/55983/242662/237979/235072/20474/245450/20616/20618/231637/81907/64930/22142/22154/22346/22631/241514",60
"60","C1","C1","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","20/1240","57/23239",5.4954264910543e-12,4.86345244458305e-10,3.50550363534622e-10,"11789/20877/11799/12235/12237/268697/52563/23834/229841/12704/67141/209334/105837/67052/59126/68501/70385/20460/21335/74335",20
"61","C1","C1","GO:0032886","regulation of microtubule-based process","41/1240","228/23239",6.61419036302942e-12,5.757598496342e-10,4.14999070922778e-10,"11603/11789/77744/207607/12449/12649/80986/76686/12387/13640/14228/209334/15505/74187/16551/212307/244329/17295/18148/18226/18479/18571/208177/70235/19353/19385/19822/66468/66140/219114/24061/13006/20460/16765/20257/21335/72119/360213/22153/103573/74335",41
"62","C1","C1","GO:1905818","regulation of chromosome separation","21/1240","64/23239",7.18741954066072e-12,6.15567705821104e-10,4.4369197707712e-10,"11789/20877/11799/12235/12237/268697/52563/23834/229841/12704/67141/209334/105837/67052/59126/68501/30939/70385/20460/21335/74335",21
