,status,family,pval,qval,genes,num_cells_expressed,C1,C3,C2,C4,cluster
Slc25a13,OK,negbinomial.size,5.42744308199449e-10,7.05183842057527e-09,Slc25a13,180,13.0854872300289,5.01723607139873,0.759187782415237,38.2222236163381,C4
Slc25a18,OK,negbinomial.size,3.65119497701918e-15,7.7372851712352e-14,Slc25a18,50,0.132279920547558,12.6643834118872,0.244441337258778,30.6529738121726,C4
Slc25a19,OK,negbinomial.size,0.00553581371959808,0.0193972138041924,Slc25a19,126,9.09405985863969,7.09639939124421,1.8693509747174,2.59428439515239,C1
Slc25a21,OK,negbinomial.size,1.02469897880421e-06,8.69439509522332e-06,Slc25a21,19,1.51831237126082,0.849591778070316,0,0,C1
Slc25a27,OK,negbinomial.size,0.00190316019839802,0.00778142073489946,Slc25a27,52,5.76700307816231,2.20220764140201,0.185689991150891,0.275184745623028,C1
Slc25a32,OK,negbinomial.size,4.51443415583433e-05,0.000284652777188711,Slc25a32,64,0.70868743001731,8.07069096204718,4.30091887679093,11.5974692303458,C4
Slc25a37,OK,negbinomial.size,0.00287530791735286,0.0111300288115889,Slc25a37,121,3.45898078749788,3.02913305857691,0.917781945058328,15.9678719886689,C4
Slc25a38,OK,negbinomial.size,0.0122604606031017,0.0375491201756423,Slc25a38,102,9.48422691763185,7.41391743204701,2.82199401912677,0.0193094587279002,C1
Slc25a39,OK,negbinomial.size,0.00591128734389046,0.0204620261314486,Slc25a39,382,38.3808505660214,61.3727816400179,27.774764039029,41.6152853647561,C3
Slc25a42,OK,negbinomial.size,2.63193786105625e-05,0.000172815807589416,Slc25a42,55,0.319358334023719,0.742641325988136,0.110906636429823,10.7592432228939,C4
Slc25a43,OK,negbinomial.size,0.000620595152246518,0.00295546665803294,Slc25a43,13,0.0672652531773471,1.26080390025209,9.32026552432409,0,C2
Slc26a2,OK,negbinomial.size,0.00048219872444926,0.00236466724841435,Slc26a2,66,2.18710396315853,0.455645598188604,1.10184954708953,0.0435001938004316,C1
Slc26a7,OK,negbinomial.size,3.92598947281276e-55,7.67953856404459e-53,Slc26a7,74,0.752420599291922,1.6217106469521,34.337119926019,67.3949978722542,C4
Slc27a1,OK,negbinomial.size,8.98161832653201e-10,1.14386689637803e-08,Slc27a1,212,3.17292234666539,18.7460798628004,11.4034039216592,41.5016018864149,C4
Slc29a1,OK,negbinomial.size,3.54007139020756e-17,8.96376738036217e-16,Slc29a1,123,7.31043465729024,5.70674821167989,54.2897982215553,3.2907281045777,C2
Slc29a3,OK,negbinomial.size,0.0112470169991577,0.0350376313054408,Slc29a3,68,1.96445774892974,4.12440154997774,0.583620775018039,0.0480349825819986,C3
Slc29a4,OK,negbinomial.size,0.00231032567703382,0.00923197240872507,Slc29a4,15,1.77239204647378,0.000889727914174995,0.116509235196707,0,C1
Slc2a1,OK,negbinomial.size,4.56981375357412e-05,0.000287862459903153,Slc2a1,167,10.6361899405539,17.8478927441927,1.28616414829715,3.01604903212827,C3
Slc2a10,OK,negbinomial.size,0.00916779773103932,0.0295091215889455,Slc2a10,23,5.03994902468048,1.29357178830228,1.68722565958191,10.2162912685836,C4
Slc2a13,OK,negbinomial.size,0.000168197227442704,0.000926561428948823,Slc2a13,27,1.07559276793733,0.116416374176232,2.40346266937839,0.00227375019730517,C2
Slc2a3,OK,negbinomial.size,0.00705335476143889,0.0236515386591211,Slc2a3,38,2.46581728446165,0.94353404024899,0.445800568199596,0.0117122411817579,C1
Slc2a4,OK,negbinomial.size,0.000300545095534333,0.00156135362029811,Slc2a4,27,2.28856966384531,0.0284135931062819,1.07710351876853,0.0637060175604963,C1
Slc2a5,OK,negbinomial.size,4.86370645340858e-07,4.30570241639329e-06,Slc2a5,19,1.41804935847967,1.63115237577297,0,0,C3
Slc30a2,OK,negbinomial.size,1.30760241626195e-10,1.79889731340936e-09,Slc30a2,24,1.32483773243605,3.71496266423519,0,0,C3
Slc30a4,OK,negbinomial.size,0.00339074634103961,0.0128091542392929,Slc30a4,107,2.74992113263024,6.14612764160544,2.45839999354928,14.4547117582537,C4
Slc30a7,OK,negbinomial.size,4.03860924223283e-06,3.09402207759624e-05,Slc30a7,179,6.64067213751103,5.34015415745245,18.8678249587809,2.19865997110819,C2
Slc35a1,OK,negbinomial.size,0.000336920641813533,0.00172044867631897,Slc35a1,290,44.3125809582218,69.8481971752725,22.5880461032142,58.0541184319528,C3
Slc35a4,OK,negbinomial.size,0.0118906617165641,0.0366609735522924,Slc35a4,348,53.8630277186938,35.2957672825375,32.4964450337673,25.3221221761962,C1
Slc35b4,OK,negbinomial.size,0.0017779927128757,0.00735616605523325,Slc35b4,164,5.75524318686321,6.95315075482448,10.8229048303418,1.05043137142921,C2
